experiment_id,experiment_name,field_id,experiment_boundary
77,HOOS FIELD - direct drilled section,79,"((-0.377552758584248 51.8128585964352, -0.377595578483168 51.8122560061985, -0.374619140213365 51.8115920371168, -0.374431380202056 51.8121738301691, -0.377552758584248 51.8128585964352))"
78,HOOS BARLEY,79,"((-0.377595578483168 51.8122560061985, -0.377670228420119 51.8113688995863, -0.377670787406429 51.8113412120442, -0.377667904563945 51.8113245371435, -0.377662424273303 51.811315559504, -0.377651611230537 51.8113096554927, -0.377635549343835 51.8113044883547, -0.377608725830602 51.8112960255782, -0.377420384772827 51.8112366880975, -0.377357271591159 51.8112167544115, -0.377165380598829 51.8111552993892, -0.377095311445606 51.8111311332776, -0.377031667008672 51.8111098432894, -0.377020702361617 51.8111081633513, -0.377003509725996 51.8111021712454, -0.376983775005754 51.8110942557443, -0.376933917696352 51.8110768426649, -0.376875013001269 51.8110568768747, -0.376808878053155 51.8110362717514, -0.376758869115649 51.8110230827285, -0.37668873840512 51.8110087167659, -0.376618745953239 51.8109985788938, -0.376571121269181 51.8109876706914, -0.376462791619592 51.8109503873241, -0.376364360096449 51.810916207848, -0.375923630335217 51.8107634637961, -0.375681880814694 51.8106807262288, -0.375630120185592 51.810663825822, -0.375594852341339 51.8106562350711, -0.375558369223186 51.8106542025448, -0.375516253610803 51.8106555091584, -0.375455591062916 51.8106642926685, -0.375364402114682 51.8106788589349, -0.375306352601582 51.8106875885436, -0.375260862903378 51.8106939738785, -0.375245445234284 51.8106951096882, -0.375231519503486 51.8106950971504, -0.375213295713659 51.8106935865195, -0.375176548907296 51.8106867844886, -0.3751533122538 51.8106794497354, -0.375101693589146 51.8106626409757, -0.375033159825056 51.8106402033096, -0.375006226372031 51.8106428884562, -0.374980810251349 51.8106477526337, -0.374945086277607 51.8106568804472, -0.374925910801198 51.8106656973865, -0.374914136388485 51.8106744367461, -0.374900876014519 51.810688191075, -0.37488783773181 51.8107038367846, -0.37487031940501 51.8107311101489, -0.374852626490335 51.8107632367614, -0.374843512186977 51.8107827133137, -0.374840749900615 51.8107909477562, -0.374838586018726 51.8108067437211, -0.374834556626061 51.8108219743903, -0.374828164838104 51.8108423877577, -0.374805922768608 51.8109243569294, -0.374778394737681 51.8110201906042, -0.37471352502834 51.8112547938469, -0.374669694291966 51.8114166730126, -0.374619140213365 51.8115920371168, -0.377595578483168 51.8122560061985))"
150,Section 9,62,"((-0.3713920712471008 51.8085351495007, -0.3709253668785095 51.80843564619741, -0.3703567385673522 51.80957992092357, -0.3708127140998839 51.8096827383896, -0.3713920712471008 51.8085351495007))"
151,Section 8,62,"((-0.3718426823616028 51.80863133581849, -0.3714028000831604 51.80854178304645, -0.3708234429359435 51.80967942170082, -0.3712525963783264 51.80975570548128, -0.3718426823616028 51.80863133581849))"
152,Section 7,62,"((-0.3722932934761047 51.80871757165295, -0.3718480467796325 51.80863133581843, -0.3712472319602966 51.80980877238284, -0.3717032074928283 51.80989832263754, -0.3722932934761047 51.80871757165295))"
153,Section 6,62,"((-0.372711718082428 51.80880380732248, -0.3723093867301941 51.80872420517187, -0.3717246651649476 51.80989832263754, -0.3721216320991517 51.80998123938141, -0.372711718082428 51.80880380732248))"
154,Section 5,62,"((-0.3731623291969299 51.80889335957389, -0.3727117180824279 51.80880712407571, -0.3721323609352111 51.80997792271455, -0.3725776076316833 51.8100641559727, -0.3731623291969299 51.80889335957389))"
168,Section 4,62,"((-0.373607575893402 51.80898954512719, -0.3731730580329894 51.80889667632053, -0.3725937008857726 51.81007078929343, -0.3730228543281555 51.81015370572001, -0.373607575893402 51.80898954512719))"
169,Section 3,62,"((-0.3740903735160828 51.80908573047526, -0.3736236691474915 51.80899286186676, -0.3730282187461854 51.81015702237389, -0.3734949231147767 51.81025320523054, -0.3740903735160828 51.80908573047526))"
170,Section 2,62,"((-0.3744980692863465 51.80917859889243, -0.3740957379341125 51.80909236393995, -0.3734949231147767 51.81025652187711, -0.3739026188850403 51.8103427546022, -0.3744980692863465 51.80917859889243))"
171,Section 1,62,"((-0.3749969601631165 51.80927478383703, -0.3745141625404358 51.80917859889243, -0.3739455342292786 51.81029300497323, -0.3744336962699891 51.81038587090288, -0.3749969601631165 51.80927478383703))"
172,Section 0,62,"((-0.3753939270973206 51.8093543850153, -0.3750130534172059 51.80928141727392, -0.3744497895240784 51.81038587090288, -0.3748467564582825 51.81045883685624, -0.3753939270973206 51.8093543850153))"
269,2020/R/RAW/2025,104,
270,2020/R/RAW/2027,104,
278,RRES LSRE WW,279,"(((-0.371246135116662 51.8109413840994, -0.370927054891455 51.8108551379442, -0.371066046493759 51.810657441262, -0.371385132084145 51.8107435072833, -0.371246135116662 51.8109413840994)), ((-0.370554814951733 51.8107546664732, -0.370235734157411 51.8106685083366, -0.370374734657246 51.8104706327369, -0.370693959327622 51.810556792498, -0.370554814951733 51.8107546664732)), ((-0.369660740870024 51.8108562944786, -0.369341522617162 51.8107699521655, -0.36948051760172 51.8105723472869, -0.369799744469173 51.8106584195913, -0.369660740870024 51.8108562944786)), ((-0.3693149391001 51.8107629295291, -0.368996150671846 51.8106767720687, -0.369135014847008 51.8104788060963, -0.369453940664784 51.810565144933, -0.3693149391001 51.8107629295291)), ((-0.371186579692357 51.8116115402866, -0.370867488398341 51.8115254736894, -0.371006195639952 51.8113276832279, -0.371325575806848 51.8114137534574, -0.371186579692357 51.8116115402866)), ((-0.369112171767569 51.8110513680645, -0.368793381715374 51.8109652100442, -0.368932247688557 51.8107672443359, -0.369251175130301 51.8108535837326, -0.369112171767569 51.8110513680645)), ((-0.369255207106415 51.8114331723784, -0.368935985601877 51.8113468289441, -0.369074984180824 51.8111492245941, -0.369394214302553 51.8112352980198, -0.369255207106415 51.8114331723784)), ((-0.368909401812475 51.8113398062143, -0.368590610136325 51.8112536476342, -0.368729477907571 51.81105568219, -0.369048406973295 51.8111420221468, -0.368909401812475 51.8113398062143)), ((-0.37096032593707 51.8101777838322, -0.370641248394388 51.8100916268162, -0.370780245297506 51.8098937506879, -0.37109946671444 51.8099799093279, -0.37096032593707 51.8101777838322)), ((-0.370614678029704 51.8100842449752, -0.370295598582242 51.809998176906, -0.37043473844115 51.8098003930776, -0.370753665302771 51.8098866385035, -0.370614678029704 51.8100842449752)), ((-0.370269021846936 51.8099909747373, -0.369949808471479 51.809904634106, -0.370088798064769 51.8097070284346, -0.370408020050914 51.8097930990572, -0.370269021846936 51.8099909747373)), ((-0.36992322536292 51.8098976116097, -0.369604441806401 51.8098114558289, -0.369743300587754 51.8096134890642, -0.370062221533712 51.8096998262207, -0.36992322536292 51.8098976116097)), ((-0.371103232593441 51.8105594941794, -0.370784297081222 51.8104733395398, -0.370923146342213 51.810275551126, -0.371242225730838 51.81036170739, -0.371103232593441 51.8105594941794)), ((-0.370411922087966 51.8103726858815, -0.370092841014286 51.8102866172519, -0.370231982672016 51.810088833688, -0.37055091115806 51.810175079674, -0.370411922087966 51.8103726858815)), ((-0.370209163523878 51.8106611264023, -0.369890080823965 51.8105750572123, -0.370029224280559 51.810377273913, -0.370348154391041 51.810463520459, -0.370209163523878 51.8106611264023)), ((-0.371651639057322 51.8103644990304, -0.371332562083006 51.8102782539959, -0.371471550090385 51.8100805567851, -0.371790632428151 51.8101666216858, -0.371651639057322 51.8103644990304)), ((-0.371794842113455 51.8107462125952, -0.371475755698554 51.810660147679, -0.371614457551774 51.8104623564262, -0.371933832834119 51.8105484249732, -0.371794842113455 51.8107462125952)), ((-0.371389336455113 51.8113230981083, -0.371070246787483 51.8112370320714, -0.371208952232922 51.8110392413461, -0.37152833077162 51.8111253110148, -0.371389336455113 51.8113230981083)), ((-0.372436582622324 51.8115523231163, -0.372096267459073 51.8115076889056, -0.372168290357292 51.8112963853326, -0.372508739291216 51.8113412909544, -0.372436582622324 51.8115523231163)), ((-0.372700392075966 51.8119086385377, -0.372359790442385 51.8118638213052, -0.372431944761358 51.8116528790835, -0.372772693117861 51.8116976082267, -0.372700392075966 51.8119086385377)), ((-0.373015671401237 51.8109848491797, -0.372674928148575 51.8109401207794, -0.372747227657993 51.8107290904382, -0.373087969399948 51.8107738186176, -0.373015671401237 51.8109848491797)), ((-0.373279485473544 51.8113410734707, -0.372939019542102 51.8112966194489, -0.373011176672229 51.8110854970713, -0.373351631385708 51.8111302204976, -0.373279485473544 51.8113410734707)), ((-0.374122367618544 51.8111301772073, -0.373781912092285 51.8110854560064, -0.373853916708156 51.8108744209379, -0.374194370724676 51.8109191419189, -0.374122367618544 51.8111301772073)), ((-0.374491119762195 51.811178705452, -0.374150811710139 51.8111338974424, -0.374222814690108 51.8109228621356, -0.374563272693062 51.8109674921792, -0.374491119762195 51.811178705452)))"
283,RRES LSRE WW Conventional Min-till,279,"(((-0.371325743409364 51.8114137128106, -0.371186747298838 51.8116114996356, -0.370867656011911 51.8115254330407, -0.371006363249563 51.8113276425835, -0.371325743409364 51.8114137128106)), ((-0.371528498368352 51.8111252703742, -0.37138950405581 51.8113230574634, -0.371070414395268 51.8112369914289, -0.371209119836748 51.8110392007079, -0.371528498368352 51.8111252703742)), ((-0.369799912104299 51.8106583789636, -0.369660908509116 51.8108562538466, -0.369341690263343 51.8107699115359, -0.369480685243938 51.8105723066616, -0.369799912104299 51.8106583789636)), ((-0.371099634316858 51.8099798687134, -0.370960493543455 51.8101777432135, -0.370641416007861 51.8100915861999, -0.370780412907014 51.8098937100759, -0.371099634316858 51.8099798687134)), ((-0.371934000419284 51.8105483843449, -0.371795009702585 51.8107461719626, -0.371475923294771 51.8106601070488, -0.371614625144033 51.8104623158003, -0.371934000419284 51.8105483843449)), ((-0.370062389159168 51.809699785614, -0.369923392992341 51.8098975709988, -0.369604609442902 51.8098114152203, -0.369743468220294 51.8096134484599, -0.370062389159168 51.809699785614)))"
284,RRES LSRE WW Conventional,279,
285,RRES LSRE Plot 25,279,"((-0.369048574627672 51.8111419815093, -0.368909569470817 51.8113397655726, -0.368590777801748 51.8112536069949, -0.368729645569029 51.8110556415549, -0.369048574627672 51.8111419815093))"
292,RRES LSRE OSR Conventional,279,"(((-0.371182545583105 51.8110319088658, -0.371043546821197 51.8112297854134, -0.370724464977612 51.8111435387003, -0.370863458373477 51.8109458422865, -0.371182545583105 51.8110319088658)), ((-0.370491369320481 51.8108451928719, -0.37035222314924 51.8110430665783, -0.370033140736164 51.8109569078837, -0.370172143030453 51.8107590325526, -0.370491369320481 51.8108451928719)), ((-0.370979788861048 51.8113203506947, -0.370840788300709 51.811518226978, -0.370521704831642 51.8114319797046, -0.370660700025075 51.8112342835551, -0.370979788861048 51.8113203506947)), ((-0.370085846210925 51.8114220737166, -0.369946696440916 51.811619946894, -0.369627610776116 51.8115337870786, -0.369766616667371 51.8113359122761, -0.370085846210925 51.8114220737166)))"
293,RRES LSRE OSR SCP,279,"(((-0.372403668073214 51.8116491177777, -0.372331655388647 51.8118601518579, -0.371991338031385 51.8118155173278, -0.372063506935326 51.8116042158498, -0.372403668073214 51.8116491177777)), ((-0.369740035994544 51.8113287998584, -0.369601039739888 51.8115264050046, -0.36928195216828 51.8114403341359, -0.369421101017746 51.8112425516345, -0.369740035994544 51.8113287998584)), ((-0.370896881940378 51.810268310485, -0.370757739367739 51.8104661847206, -0.370438660206331 51.8103800271467, -0.37057765890382 51.8101821512869, -0.370896881940378 51.810268310485)), ((-0.36965687121383 51.8102766651287, -0.369517871451117 51.8104744499849, -0.369199084653869 51.8103882930868, -0.369337947027091 51.8101903268545, -0.36965687121383 51.8102766651287)))"
294,RRES LSRE OSR SCP Min till,279,"(((-0.369740035994544 51.8113287998584, -0.369601039739888 51.8115264050046, -0.36928195216828 51.8114403341359, -0.369421101017746 51.8112425516345, -0.369740035994544 51.8113287998584)), ((-0.36965687121383 51.8102766651287, -0.369517871451117 51.8104744499849, -0.369199084653869 51.8103882930868, -0.369337947027091 51.8101903268545, -0.36965687121383 51.8102766651287)))"
297,RRES LSRE Plot 02,279,"((-0.372403668073214 51.8116491177777, -0.372331655388647 51.8118601518579, -0.371991338031385 51.8118155173278, -0.372063506935326 51.8116042158498, -0.372403668073214 51.8116491177777))"
313,2020/R/WW/2006,89,"((-0.392223212849278 51.8057334570293, -0.392344519597831 51.8057199188894, -0.392376931560858 51.8058322218921, -0.392255769497064 51.8058457620446, -0.392223212849278 51.8057334570293))"
314,2020/R/WW/2011,89,"((-0.391938692542898 51.8053607170056, -0.392231100276757 51.8053282973088, -0.392300847276457 51.8055694259658, -0.392007999894918 51.8056019297513, -0.391938692542898 51.8053607170056))"
315,2018/R/CM/1862,60,"((-0.377178786352809 51.8051442195629, -0.376800791581942 51.8053260362029, -0.376227639848558 51.8048678061254, -0.376605633010035 51.8046859913015, -0.377178786352809 51.8051442195629))"
316,2019/R/CM/1960,60,"((-0.37735721708628 51.8058545296883, -0.377187637285621 51.8058307889674, -0.376510057715055 51.8057354741581, -0.376655799277017 51.805336623715, -0.377502951601449 51.8054556781422, -0.37735721708628 51.8058545296883))"
317,2019/R/CM/1973,60,"((-0.376380807182049 51.8046215624077, -0.376033475732472 51.8045676706155, -0.376109258240973 51.8043800653694, -0.376456588348931 51.804433956928, -0.376380807182049 51.8046215624077))"
318,2020/R/CM/2053,90,"((-0.375088440362111 51.8088132163117, -0.37491856724918 51.8087892884883, -0.374560769450528 51.8087392043875, -0.374667946794604 51.808445389225, -0.375195614471813 51.8085194006439, -0.375088440362111 51.8088132163117))"
319,2020/R/CS/10,92,"((-0.376684905587518 51.8158276836498, -0.377323384420357 51.8160625517837, -0.376754947111605 51.8166562702154, -0.376116462980032 51.8164213989711, -0.376684905587518 51.8158276836498))"
320,2020/R/CS/408,124,"((-0.366962152064686 51.8019768158994, -0.366665266020219 51.8018643394916, -0.367043458305807 51.8014806878582, -0.367340342814121 51.8015931633044, -0.366962152064686 51.8019768158994))"
321,2020/R/CS/690,105,"((-0.381570461914425 51.8148285646565, -0.382194405294174 51.8151779436413, -0.381489702080699 51.8156451817874, -0.381504992927705 51.8156638257069, -0.380790582058463 51.8161505285816, -0.380160994000381 51.8157926120345, -0.381570461914425 51.8148285646565))"
322,2020/R/CS/715,92,"((-0.376854053943003 51.8156585413763, -0.376420065763683 51.8161080841465, -0.376420352553101 51.8161081780248, -0.375938187438471 51.8166101964765, -0.374681216782117 51.816177854688, -0.375173762344561 51.8156335426521, -0.3756128371793 51.8151476572148, -0.375645980531502 51.8151982900921, -0.376854053943003 51.8156585413763))"
