236,Applied slug pellets: WHITEHORSE 1 Commercial,WHITEHORSE 1,Lehner slug pelleter;Kawasaki  Mule 610,Pesticide Application,"{'value': '<p>Applied slug pellets to commercial field WHITEHORSE 1</p>\n', 'format': 'farm_format'}",[]
288,Herbicide,RRES LSRE Site;RRES LSRE Plot 25,,Pesticide Application,"{'value': '<p>As this is an SCP plot, the active ingredients are ""low resistance risk"" for black grass.</p>\n', 'format': 'farm_format'}",[]
289,Herbicide and Insecticide ,RRES LSRE Site;RRES LSRE WW Conventional Min-till,Knight 24m Sprayer,Pesticide Application,"{'value': '<p>Post-emergence herbicide to tackle residual weeds in the conventional min-till WW - specifically targeting any black grass and the rye grass in the min-till wheat after grass plot<br />\nInsecticide targeting aphids which have not been observed in field but are present at high numbers in the suction traps, and there are reports of observations locally<br />\nStart: 14:00<br />\nFinish: 14:45<br />\nWind speed: 7 mph<br />\nDirection: SE<br />\nWeather: Clear<br />\nTemp: 10C<br />\nVolume: 150 l/ha</p>\n', 'format': 'farm_format'}",[]
290,RR LSRE OSR Autumn Herbicide & Fungicide,RRES LSRE Site;RRES LSRE OSR Conventional;RRES LSRE OSR SCP Min till;RRES LSRE Plot 02,NH T6030;Knight 24m Sprayer,Pesticide Application,"{'value': '<p>start time: 15:00<br />\nstop time: 16:45<br />\nwind speed (mph): 7 Km/hr<br />\nwind direction:  S/E<br />\ntemperature (C): 5<br />\nweather: clear<br />\noperator: B. Smith</p>\n', 'format': 'farm_format'}",[]
291,OSR Spring Fertiliser,RRES LSRE Site,Cascade Spreader,Fertiliser Application,"{'value': '<p>Plots: H22; H23; H27; H34; H36;<br />\nNotes: 296 kg ha Double Top = 80 kg N, 89 SO3</p>\n', 'format': 'farm_format'}",[]
298,OSR Spring Fertiliser,LSRE Brooms Barn,Cascade Spreader,Fertiliser Application,"{'value': '<p>Plots: B23; B28; B39; B50; B51; B59<br />\nNotes: 296 kg ha Double Top = 80 kg N, 89 SO3</p>\n', 'format': 'farm_format'}",[]
299,OSR Spring Herbicide,LSRE Brooms Barn,,Pesticide Application,"{'value': '<p>Plots: B23; B28; B39; B50; B51; B59</p>\n', 'format': 'farm_format'}",[]
300,Glyphosate all cover crops,RRES LSRE Site,Knight 24m Sprayer,Pesticide Application,"{'value': '<p>Review: Products TBC. Also, does this apply to all plots, or just min-till (inversion plots they are ploughed in?)</p>\n', 'format': 'farm_format'}",[]
312,Fertiliser application: 188 kg/ha Nitram into GREAT FIELD 1/2,GREAT FIELD 1/2,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>188 Kg/ha Nitram gives 65 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
313,Fertiliser application: 188 kg/ha Nitram into WHITEHORSE 1,WHITEHORSE 1,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>188 Kg/ha Nitram gives 65 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
314,Fertiliser application: 296 kg/ha DoubleTop into GREAT KNOTT 2,GREAT KNOTT 2,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>296 Kg/ha Double Top gives 80 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
315,Fertiliser application: 296 kg/ha DoubleTop into BLACKHORSE,BLACKHORSE,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>296 Kg/ha Double Top gives 80 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
316,Fertiliser application: 296 kg/ha DoubleTop into SCOUT,SCOUT,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>296 Kg/ha Double Top gives 80 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
317,Fertiliser application: 296 kg/ha DoubleTop into WEBBS,WEBBS,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>296 Kg/ha Double Top gives 80 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
318,Fertiliser application: 296 kg/ha DoubleTop into GREAT KNOTT 1,GREAT KNOTT 1,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>296 Kg/ha Double Top gives 80 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
319,Fertiliser application: 296 kg/ha DoubleTop into DELAFIELD,DELAFIELD,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>296 Kg/ha Double Top gives 80 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
320,Fertiliser application: 296 kg/ha DoubleTop into GEESCROFT,GEESCROFT,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>296 Kg/ha Double Top gives 80 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
321,Fertiliser application: 296 kg/ha DoubleTop into CLAYCROFT,CLAYCROFT,JD6145R;Kverneland Twin disc Fertiliser Spreader,Fertiliser Application,"{'value': '<p>296 Kg/ha Double Top gives 80 Kg/ha N</p>\n', 'format': 'farm_format'}",[]
