log_id,log_date,log_name,field,areas,equipment_list,categories,hours,count,depth,notes,raw_notes,raw_quantity
https://rothamstedfarm.farmos.net/log/1543,2020-04-02 00:00:00,Power harrowed : BROAD MEAD WW/2033,Broad Mead,2020/W/WW/2033,JD6620;Kuhn Powerharrow 3m,Tillage;Excel upload,,,,;Power harrowed ;;,"<ul>
<li>Power harrowed </li>
</ul>
",[]
https://rothamstedfarm.farmos.net/log/1544,2020-04-02 00:00:00,Rolled : BROAD MEAD WW/2033,Broad Mead,2020/W/WW/2033,JD5070;6m Flexicoil Cambridge Roll,Rolling;Excel upload,,,,;Rolled ;;,"<ul>
<li>Rolled </li>
</ul>
",[]
https://rothamstedfarm.farmos.net/log/1556,2020-01-09 00:00:00,Grubbing: WHITTLOCKS CS/785,WHITTLOCKS,2020/R/CS/785,By Hand ,Hand weeding;Excel upload,,,,;Grubbing; brambles grubbed out by hand with mattocks;;,"<ul>
<li>Grubbing</li>
<li>Notes: brambles grubbed out by hand with mattocks</li>
</ul>
",[]
https://rothamstedfarm.farmos.net/log/1557,2020-01-09 00:00:00,Grubbing: ROADPIECE CS/792,ROADPIECE,2020/R/CS/792,By Hand ,Hand weeding;Excel upload,,,,;Grubbing; brambles grubbed out by hand with mattocks;;,"<ul>
<li>Grubbing</li>
<li>Notes: brambles grubbed out by hand with mattocks</li>
</ul>
",[]
https://rothamstedfarm.farmos.net/log/1689,2020-07-07 00:00:00,Cleaning Grain Store ,Farm Biuldings & Yard,Farm Biuldings & Yard,,,,,,"Bay 3 finished, Bay 2 started;Grain store near diesel tank;","<p>Bay 3 finished, Bay 2 started<br />
Grain store near diesel tank</p>
",[]
https://rothamstedfarm.farmos.net/log/1690,2020-07-07 16:13:34,Cut plot ends in section 8,BROADBALK,BROADBALK,JD5620;McConnel SE 6 Topper,Topping,,,,Plot ends in section 8 cannot be sprayed off so have to be cut with a tractor and topper. Allows use of GPS for accuracy. JD5620 had narrow wheels on so wheels were inside the width of the topper.;,"<p>Plot ends in section 8 cannot be sprayed off so have to be cut with a tractor and topper. Allows use of GPS for accuracy. JD5620 had narrow wheels on so wheels were inside the width of the topper.</p>
",[]
https://rothamstedfarm.farmos.net/log/1719,2020-07-09 14:43:33,Cleaning Grain Store ,Farm Biuldings & Yard,Farm Biuldings & Yard,,,,,,"Bay 2 finished, Grain store near diesel tank;","<p>Bay 2 finished, Grain store near diesel tank</p>
",[]
https://rothamstedfarm.farmos.net/log/1745,2020-05-11 00:00:00,Topping,Woburn Farm Yard,Woburn Farm Yard,JD6620;WES Topper 9,Topping,,,,,,[]
https://rothamstedfarm.farmos.net/log/1746,2020-07-09 00:00:00,Topping,Great Hill,Great Hill,WES Topper 9;JD6620,Topping,,,,Grass Areas;,"<p>Grass Areas</p>
",[]
https://rothamstedfarm.farmos.net/log/1747,2020-07-09 00:00:00,Topping,Butt Clong,Butt Clong,JD6620;WES Topper 9,Topping,,,,Grass Areas;,"<p>Grass Areas</p>
",[]
https://rothamstedfarm.farmos.net/log/1753,2020-07-15 08:54:49,All Grain Trailers Power Washed ,Farm Biuldings & Yard,Farm Biuldings & Yard,,Equipment,,,,,,[]
https://rothamstedfarm.farmos.net/log/1754,2020-07-08 00:00:00,Topping,Lansome,Lansome,JD6620;WES Topper 9,Topping,,,,,,[]
https://rothamstedfarm.farmos.net/log/1755,2020-07-03 00:00:00,Baling Grass,Stackyard Woburn,2020/W/RN/12;2020/W/RN/3,Claas Baler;JD6620,Baling,,,,,,[]
https://rothamstedfarm.farmos.net/log/1756,2020-07-02 00:00:00,Row up grass,Stackyard Woburn,2020/W/RN/12;2020/W/RN/3,Tedder;JD6620,Rowing up,,,,,,[]
https://rothamstedfarm.farmos.net/log/1757,2020-07-02 00:00:00,Mowed,Stackyard Woburn,2020/W/RN/12;2020/W/RN/3,JD6620,Mowing,,,,Machine used: Unifarm Mower;Mowed Grass Trails;,"<p>Machine used: Unifarm Mower<br />
Mowed Grass Trails</p>
",[]
https://rothamstedfarm.farmos.net/log/1758,2020-07-06 00:00:00,Topping,Stackyard Woburn,Stackyard Woburn,JD6620;WES Topper 9,Topping,,,,Grass Areas;,"<p>Grass Areas</p>
",[]
https://rothamstedfarm.farmos.net/log/1761,2020-07-17 00:00:00,Wild Oat Count,BROADBALK,BROADBALK;Section 8,By Hand ,Hand weeding,,9 Oats pulled from plot 108: 9 Oats,,Oats found in plot 108;,"<p>Oats found in plot 108</p>
","[{'measure': 'count', 'value': '9', 'unit': {'uri': 'https://rothamstedfarm.farmos.net/taxonomy_term/614', 'id': '614', 'resource': 'taxonomy_term', 'name': 'Oats'}, 'label': '9 Oats pulled from plot 108'}]"
https://rothamstedfarm.farmos.net/log/1769,2020-07-20 00:00:00,Topping,RRES LSRE Site,RRES LSRE Site,MF3070;Topper 9,Topping,,,,Topped paths and plot ends;,"<p>Topped paths and plot ends</p>
",[]
https://rothamstedfarm.farmos.net/log/1773,2020-07-20 00:00:00,Wild Oat Count,HOOS FIELD,HOOS BARLEY,,Hand weeding,,number of wild oats pulled : 2 Wild Oats,,,,"[{'measure': 'count', 'value': '2', 'unit': {'uri': 'https://rothamstedfarm.farmos.net/taxonomy_term/617', 'id': '617', 'resource': 'taxonomy_term', 'name': 'Wild Oats'}, 'label': 'number of wild oats pulled '}]"
https://rothamstedfarm.farmos.net/log/1774,2020-07-22 00:00:00,Topping,LITTLE KNOTT 1,LITTLE KNOTT 1,MF3070;Topper 9,Topping,,,,topping rough grass;,"<p>topping rough grass</p>
",[]
https://rothamstedfarm.farmos.net/log/1775,2020-07-23 00:00:00,Topping,LITTLE HOOS,LITTLE HOOS,MF3070;Topper 9,Topping,,,,Topped Second year Grass Plot 3;,"<p>Topped Second year Grass Plot 3</p>
",[]
https://rothamstedfarm.farmos.net/log/1776,2020-07-23 00:00:00,Topping,GREAT HARPENDEN 1,GREAT HARPENDEN 1,MF3070;Topper 9,Topping,,,,"Top of Second Year Glass Plots. Plot 19 ,21 and 30.;","<p>Top of Second Year Glass Plots. Plot 19 ,21 and 30.</p>
",[]
https://rothamstedfarm.farmos.net/log/1778,2020-07-24 00:00:00,Cut grass plots ,RRES LSRE Site,RRES LSRE Site,Kuhn Mower Conditioner;Tym T503,Mowing,,,,Inversion grass plots only;,"<p>Inversion grass plots only</p>
",[]
https://rothamstedfarm.farmos.net/log/1779,2020-04-24 00:00:00,Rolled,GREAT HARPENDEN 1,GREAT HARPENDEN 1,JD6230;6m Flexicoil Cambridge Roll,Rolling,,,,Rolled Plots 20 and 53;,"<p>Rolled Plots 20 and 53</p>
",[]
